Year,ID,Species,River,Reach,Length,Age_cap,Age,Growth_year,Otolith_growth,Avflow,Annualflow_SD,Springflow,SpringSD,SumAutflow,SumAutSD,Ant_Wintflow,Ant_WintSD,Ant_Avflow,Ant_Annualflow_SD,Ant_Springflow,Ant_SpringSD,Ant_SumAutflow,Ant_SumAutSD,Temp
2013,4025,MC,Murray,Lower,1008,19,17,2010,0.11,9858.13,1.01,9254.32,0.18,6661.98,0.39,2982.09,0.54,5632.35,0.43,5227.39,0.23,6647.46,0.33,17.36
2013,16407,MC,Murray,Lower,685,10,8,2010,0.12,9858.13,1.01,9254.32,0.18,6661.98,0.39,2982.09,0.54,5632.35,0.43,5227.39,0.23,6647.46,0.33,17.36
2012,128335,MC,Murray,Lower,550,11,10,2010,0.11,9858.13,1.01,9254.32,0.18,6661.98,0.39,2982.09,0.54,5632.35,0.43,5227.39,0.23,6647.46,0.33,17.36
2012,124991,MC,Murray,Lower,647,10,9,2010,0.10,9858.13,1.01,9254.32,0.18,6661.98,0.39,2982.09,0.54,5632.35,0.43,5227.39,0.23,6647.46,0.33,17.36
2012,121364,MC,Murray,Lower,375,4,3,2010,0.18,9858.13,1.01,9254.32,0.18,6661.98,0.39,2982.09,0.54,5632.35,0.43,5227.39,0.23,6647.46,0.33,17.36
2012,128488,MC,Murray,Lower,727,10,9,2010,0.10,9858.13,1.01,9254.32,0.18,6661.98,0.39,2982.09,0.54,5632.35,0.43,5227.39,0.23,6647.46,0.33,17.36
2011,112204,MC,Murray,Lower,455,4,4,2010,0.20,9858.13,1.01,9254.32,0.18,6661.98,0.39,2982.09,0.54,5632.35,0.43,5227.39,0.23,6647.46,0.33,17.36
2011,113503,MC,Murray,Lower,550,7,7,2010,0.12,9858.13,1.01,9254.32,0.18,6661.98,0.39,2982.09,0.54,5632.35,0.43,5227.39,0.23,6647.46,0.33,17.36
2014,119061,MC,Murray,Lower,556,9,7,2011,0.15,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,119063,MC,Murray,Lower,534,9,7,2011,0.16,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,119059,MC,Murray,Lower,581,7,5,2011,0.14,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,119062,MC,Murray,Lower,565,7,5,2011,0.18,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,119066,MC,Murray,Lower,335,3,1,2011,0.40,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,119069,MC,Murray,Lower,302,3,1,2011,0.51,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,119073,MC,Murray,Lower,798,11,9,2011,0.18,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,127459,MC,Murray,Lower,241,3,1,2011,0.38,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,130450,MC,Murray,Lower,248,3,1,2011,0.33,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,130797,MC,Murray,Lower,795,12,10,2011,0.14,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,12865,MC,Murray,Lower,575,11,9,2011,0.14,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2011,111330,MC,Murray,Lower,123,1,1,2011,0.36,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2013,4025,MC,Murray,Lower,1008,19,18,2011,0.12,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2013,25784,MC,Murray,Lower,627,14,13,2011,0.09,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2013,16407,MC,Murray,Lower,685,10,9,2011,0.12,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2012,102269,MC,Murray,Lower,610,13,13,2011,0.12,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2012,128335,MC,Murray,Lower,550,11,11,2011,0.13,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2012,128488,MC,Murray,Lower,727,10,10,2011,0.09,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2012,121364,MC,Murray,Lower,375,4,4,2011,0.16,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2014,119064,MC,Murray,Lower,482,7,5,2011,0.13,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2012,124991,MC,Murray,Lower,647,10,10,2011,0.14,22476.51,0.59,26364.87,0.62,23506.96,0.68,9268.63,0.64,9858.13,1.01,9254.32,0.18,6661.98,0.39,16.92
2013,128828,MC,Murray,Lower,192,1,1,2012,0.43,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119064,MC,Murray,Lower,482,7,6,2012,0.14,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119063,MC,Murray,Lower,534,9,8,2012,0.10,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119066,MC,Murray,Lower,335,3,2,2012,0.28,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119062,MC,Murray,Lower,565,7,6,2012,0.13,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119069,MC,Murray,Lower,302,3,2,2012,0.28,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119065,MC,Murray,Lower,281,2,1,2012,0.34,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119070,MC,Murray,Lower,277,2,1,2012,0.43,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119072,MC,Murray,Lower,269,2,1,2012,0.45,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119073,MC,Murray,Lower,798,11,10,2012,0.13,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,123107,MC,Murray,Lower,252,2,1,2012,0.35,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,127459,MC,Murray,Lower,241,3,2,2012,0.24,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,130208,MC,Murray,Lower,264,2,1,2012,0.34,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,130450,MC,Murray,Lower,248,3,2,2012,0.29,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,130797,MC,Murray,Lower,795,12,11,2012,0.11,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,130879,MC,Murray,Lower,294,2,1,2012,0.38,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119068,MC,Murray,Lower,235,2,1,2012,0.44,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,105320,MC,Murray,Lower,178,1,1,2012,0.45,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119067,MC,Murray,Lower,281,2,1,2012,0.36,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119061,MC,Murray,Lower,556,9,8,2012,0.15,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,128827,MC,Murray,Lower,242,1,1,2012,0.49,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,118906,MC,Murray,Lower,206,1,1,2012,0.43,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,104511,MC,Murray,Lower,225,1,1,2012,0.48,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,104509,MC,Murray,Lower,205,1,1,2012,0.36,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,104508,MC,Murray,Lower,206,1,1,2012,0.51,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,104507,MC,Murray,Lower,201,1,1,2012,0.43,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119059,MC,Murray,Lower,581,7,6,2012,0.15,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,104504,MC,Murray,Lower,190,1,1,2012,0.46,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,4025,MC,Murray,Lower,1008,19,19,2012,0.12,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,25784,MC,Murray,Lower,627,14,14,2012,0.14,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,16407,MC,Murray,Lower,685,10,10,2012,0.13,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,12865,MC,Murray,Lower,575,11,10,2012,0.10,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,104505,MC,Murray,Lower,200,1,1,2012,0.42,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2013,128826,MC,Murray,Lower,204,1,1,2012,0.41,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119060,MC,Murray,Lower,230,2,1,2012,0.42,15827.95,0.73,14721.29,0.49,10678.18,0.89,22201.34,0.46,22476.51,0.59,26364.87,0.62,23506.96,0.68,18.98
2014,119073,MC,Murray,Lower,798,11,11,2013,0.12,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,123107,MC,Murray,Lower,252,2,2,2013,0.24,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,130208,MC,Murray,Lower,264,2,2,2013,0.33,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,130369,MC,Murray,Lower,160,1,1,2013,0.42,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,130370,MC,Murray,Lower,162,1,1,2013,0.41,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,130797,MC,Murray,Lower,795,12,12,2013,0.08,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,130882,MC,Murray,Lower,195,1,1,2013,0.42,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,ARI-14-11,MC,Murray,Lower,136,1,1,2013,0.39,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119072,MC,Murray,Lower,269,2,2,2013,0.32,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119059,MC,Murray,Lower,581,7,7,2013,0.08,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,130879,MC,Murray,Lower,294,2,2,2013,0.31,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119070,MC,Murray,Lower,277,2,2,2013,0.32,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119068,MC,Murray,Lower,235,2,2,2013,0.28,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119067,MC,Murray,Lower,281,2,2,2013,0.32,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119066,MC,Murray,Lower,335,3,3,2013,0.24,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119065,MC,Murray,Lower,281,2,2,2013,0.28,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119064,MC,Murray,Lower,482,7,7,2013,0.09,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119063,MC,Murray,Lower,534,9,9,2013,0.09,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119062,MC,Murray,Lower,565,7,7,2013,0.09,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119060,MC,Murray,Lower,230,2,2,2013,0.25,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,12865,MC,Murray,Lower,575,11,11,2013,0.08,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,ARI-14-18,MC,Murray,Lower,148,1,1,2013,0.41,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2014,119061,MC,Murray,Lower,556,9,9,2013,0.09,11497.22,0.77,14721.29,0.49,7664.24,0.25,24516.54,0.56,15827.95,0.73,14721.29,0.49,10678.18,0.89,17.371506849
2011,ARI-11-9,MC,Ovens,Middle,680,13,2,1999,0.28,3675.34,1.30,10411.39,1.36,625.13,0.89,3216.78,0.95,2685.08,3.14,2774.39,1.03,197.66,0.70,16.84
2011,ARI-11-9,MC,Ovens,Middle,680,13,3,2000,0.21,4362.03,1.53,4550.67,0.93,779.80,0.77,4867.42,0.79,3675.34,1.30,10411.39,1.36,625.13,0.89,17.17
2009,O904,MC,Ovens,Middle,625,8,1,2001,0.45,3844.63,1.56,15580.83,0.66,939.35,1.02,7533.84,0.55,4362.03,1.53,4550.67,0.93,779.80,0.77,16.50
2011,ARI-11-9,MC,Ovens,Middle,680,13,4,2001,0.15,3844.63,1.56,15580.83,0.66,939.35,1.02,7533.84,0.55,4362.03,1.53,4550.67,0.93,779.80,0.77,16.50
2011,ARI-11-9,MC,Ovens,Middle,680,13,5,2002,0.12,2096.56,1.25,6478.51,0.47,502.71,0.71,2445.63,1.02,3844.63,1.56,15580.83,0.66,939.35,1.02,15.03
2008,O89,MC,Ovens,Middle,650,6,1,2002,0.41,2096.56,1.25,6478.51,0.47,502.71,0.71,2445.63,1.02,3844.63,1.56,15580.83,0.66,939.35,1.02,15.03
2010,111454,MC,Ovens,Middle,600,8,1,2002,0.47,2096.56,1.25,6478.51,0.47,502.71,0.71,2445.63,1.02,3844.63,1.56,15580.83,0.66,939.35,1.02,15.03
2012,101935,MC,Ovens,Middle,710,10,1,2002,0.40,2096.56,1.25,6478.51,0.47,502.71,0.71,2445.63,1.02,3844.63,1.56,15580.83,0.66,939.35,1.02,15.03
2009,O904,MC,Ovens,Middle,625,8,2,2002,0.26,2096.56,1.25,6478.51,0.47,502.71,0.71,2445.63,1.02,3844.63,1.56,15580.83,0.66,939.35,1.02,15.03
2011,ARI-11-10,MC,Ovens,Middle,610,8,1,2003,0.39,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2008,O732,MC,Ovens,Middle,530,5,1,2003,0.36,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2008,O89,MC,Ovens,Middle,650,6,2,2003,0.34,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2009,O904,MC,Ovens,Middle,625,8,3,2003,0.33,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2012,101935,MC,Ovens,Middle,710,10,2,2003,0.31,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2011,1122,MC,Ovens,Middle,740,9,1,2003,0.36,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2011,ARI-11-9,MC,Ovens,Middle,680,13,6,2003,0.09,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2009,O903,MC,Ovens,Middle,590,6,1,2003,0.42,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2010,1013,MC,Ovens,Middle,695,7,1,2003,0.40,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2010,111454,MC,Ovens,Middle,600,8,2,2003,0.28,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2009,O905,MC,Ovens,Middle,620,6,1,2003,0.43,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2012,1205,MC,Ovens,Middle,720,9,1,2003,0.37,3007.83,1.93,1525.23,0.89,168.06,1.38,2223.14,0.51,2096.56,1.25,6478.51,0.47,502.71,0.71,16.33
2009,O903,MC,Ovens,Middle,590,6,2,2004,0.31,3590.04,1.32,6708.63,0.59,1071.65,1.31,7223.61,1.18,3007.83,1.93,1525.23,0.89,168.06,1.38,15.39
